00:09:22 5040 A     
00:09:27 4985 A     
00:09:32 5000 A     
00:09:37 5000 A Pause    
00:09:42 5000 A Pause    
00:09:47 5000 A Pause    
00:09:52 5000 A Pause    
00:09:57 5000 A Pause    
00:10:02 5000 A Pause    
00:10:07 5000 A Pause    
00:10:12 5000 A Pause    
00:10:17 5000 A Pause    
00:10:22 5000 A Pause    
00:10:27 5000 A Pause    
00:10:32 5000 A Pause    
00:10:37 5000 A Pause    
00:10:42 5000 A Pause    
00:10:47 5000 A Pause    
00:10:52 5000 A Pause    
00:10:57 5000 A Pause    
00:11:02 5000 A Pause    
00:11:07 5000 A Pause    
00:11:12 5000 A Pause    
00:11:17 5000 A Pause    
00:11:22 5000 A Pause    
00:11:27 5000 A Pause    
00:11:32 5000 A Pause    
00:11:37 5000 A Pause    
00:11:42 5000 A Pause    
00:11:47 5000 A Pause    
00:11:52 5000 A Pause    
00:11:57 5000 A Pause    
00:12:02 5000 A Pause    
00:12:07 5000 A Pause    
00:12:12 5000 A Pause    
00:12:17 5000 A Pause    
00:12:22 5000 A Pause    
00:12:27 5000 A Pause    
00:12:32 5000 A Pause    
00:12:37 5000 A Pause    
00:12:42 5000 A Pause    
00:12:47 5000 A Pause    
00:12:52 5000 A Pause    
00:12:57 5000 A Pause    
00:13:02 5000 A Pause    
00:13:07 5000 A Pause    
00:13:12 5000 A Pause    
00:13:17 5000 A Pause    
00:13:22 5000 A Pause    
00:13:27 5000 A Pause    
00:13:32 5000 A Pause    
00:13:37 5000 A Pause    
00:13:42 5000 A Pause    
00:13:47 5000 A Pause    
00:13:52 5000 A Pause    
00:13:57 5000 A Pause    
00:14:02 5000 A Pause    
00:14:07 5000 A Pause    
00:14:12 5000 A Pause    
00:14:17 5000 A Pause    
00:14:22 5000 A Pause    
00:14:27 5000 A Pause    
00:14:32 5000 A Pause    
00:14:37 5000 A Pause    
00:14:42 5000 A Pause    
00:14:47 5000 A Pause    
00:14:52 5000 A Pause    
00:14:57 5000 A Pause    
00:15:02 5000 A Pause    
00:15:07 5000 A Pause    
00:15:12 5000 A Pause    
00:15:17 5000 A Pause    
00:15:22 5000 A Pause    
00:15:27 5000 A Pause    
00:15:32 5000 A Pause    
00:15:37 5000 A Pause    
00:15:42 5000 A Pause    
00:15:47 5000 A Pause    
00:15:52 5000 A Pause    
00:15:57 5000 A Pause    
00:16:02 5000 A Pause    
00:16:07 5000 A Pause    
00:16:12 5000 A Pause    
00:16:17 5000 A Pause    
00:16:22 5000 A Pause    
00:16:27 5000 A Pause    
00:16:32 5000 A Pause    
00:16:37 5000 A Pause    
00:16:42 5000 A Pause    
00:16:47 5000 A Pause    
00:16:52 5000 A Pause    
00:16:57 5000 A Pause    
00:17:02 5000 A Pause    
00:17:07 5000 A Pause    
00:17:12 5000 A Pause    
00:17:17 5000 A Pause    
00:17:22 5000 A Pause    
00:17:27 5000 A Pause    
