09:54:51 5040 N     
09:54:56 5000 N     
09:55:01 5000 N Pause    
09:55:06 5000 N Pause    
09:55:11 5000 N Pause    
09:55:16 5000 N Pause    
09:55:21 5000 N Pause    
09:55:26 5000 N Pause    
09:55:31 5000 N Pause    
09:55:36 5000 N Pause    
09:55:41 5000 N Pause    
09:55:46 5000 N Pause    
09:55:51 5000 N Pause    
09:55:56 5000 N Pause    
09:56:01 5000 N Pause    
09:56:06 5000 N Pause    
09:56:11 5000 N Pause    
09:56:16 5000 N Pause    
09:56:21 5000 N Pause    
09:56:26 5000 N Pause    
09:56:31 5000 N Pause    
09:56:36 5000 N Pause    
09:56:41 5000 N Pause    
09:56:46 5000 N Pause    
09:56:51 5000 N Pause    
09:56:56 5000 N Pause    
09:57:01 5000 N Pause    
09:57:06 5000 N Pause    
09:57:11 5000 N Pause    
09:57:16 5000 N Pause    
09:57:21 5000 N Pause    
09:57:26 5000 N Pause    
09:57:31 5000 N Pause    
09:57:36 5000 N Pause    
09:57:41 5000 N Pause    
09:57:46 5000 N Pause    
09:57:51 5000 A Pause    
09:57:56 5000 A Pause    
09:58:01 5000 A Pause    
09:58:06 5000 A Pause    
09:58:11 5000 A Pause    
09:58:16 5000 A Pause    
09:58:21 5000 A Pause    
09:58:26 5000 A Pause    
09:58:31 5000 A Pause    
09:58:36 5000 A Pause    
09:58:41 5000 A Pause    
09:58:46 5000 A Pause    
09:58:51 5000 A Pause    
09:58:56 5000 A Pause    
09:59:01 5000 A Pause    
09:59:06 5000 A Pause    
09:59:11 5000 A Pause    
09:59:16 5000 A Pause    
09:59:21 5000 A Pause    
09:59:26 5000 A Pause    
09:59:31 5000 A Pause    
09:59:36 5000 A Pause    
09:59:41 5000 A Pause    
09:59:46 5000 A Pause    
09:59:51 5000 A Pause    
09:59:56 5000 A Pause    
10:00:01 5000 A Pause    
10:00:06 5000 A Pause    
10:00:11 5000 A Pause    
10:00:16 5000 A Pause    
10:00:21 5000 A Pause    
10:00:26 5000 A Pause    
10:00:31 5000 A Pause    
10:00:36 5000 A Pause    
10:00:41 5000 A Pause    
10:00:46 5000 A Pause    
10:00:51 5000 A Pause    
10:00:56 5000 A Pause    
10:01:01 5000 A Pause    
10:01:06 5000 A Pause    
10:01:11 5000 A Pause    
10:01:16 5000 A Pause    
10:01:21 5000 A Pause    
10:01:26 5000 A Pause    
10:01:31 5000 A Pause    
10:01:36 5000 A Pause    
10:01:41 5000 A Pause    
10:01:46 5000 A Pause    
10:01:51 5000 A Pause    
10:01:56 5000 A Pause    
10:02:01 5000 A Pause    
10:02:06 5000 A Pause    
10:02:11 5000 A Pause    
10:02:16 5000 A Pause    
10:02:21 5000 A Pause    
10:02:26 5000 A Pause    
10:02:31 5000 A Pause    
10:02:36 5000 A Pause    
10:02:41 5000 A Pause    
10:02:46 5000 A Pause    
10:02:51 5000 A Pause    
10:02:56 5000 A Pause    
10:03:01 5000 A Pause    
10:03:06 5000 A Pause    
10:03:11 5000 A Pause    
10:03:16 5000 A Pause    
10:03:21 5000 A Pause    
10:03:26 5000 A Pause    
10:03:31 5000 A Pause    
10:03:36 5000 A Pause    
10:03:41 5000 A Pause    
10:03:46 5000 A Pause    
10:03:51 5000 A Pause    
10:03:56 5000 A Pause    
10:04:01 5000 A Pause    
10:04:06 5000 A Pause    
10:04:11 5000 A Pause    
10:04:16 5000 A Pause    
10:04:21 5000 A Pause    
10:04:26 5000 A Pause    
10:04:31 5000 A Pause    
10:04:36 5000 A Pause    
10:04:41 5000 A Pause    
10:04:46 5000 A Pause    
10:04:51 5000 A Pause    
10:04:56 5000 A Pause    
10:05:01 5000 A Pause    
10:05:06 5000 A Pause    
10:05:11 5000 A Pause    
10:05:16 5000 A Pause    
10:05:21 5000 A Pause    
10:05:26 5000 A Pause    
10:05:31 5000 A Pause    
10:05:36 5000 A Pause    
10:05:41 5000 A Pause    
10:05:46 5000 A Pause    
10:05:51 5000 A Pause    
10:05:56 5000 A Pause    
10:06:01 5000 A Pause    
10:06:06 5000 A Pause    
10:06:11 5000 A Pause    
10:06:16 5000 A Pause    
10:06:21 5000 A Pause    
10:06:26 5000 A Pause    
10:06:31 5000 A Pause    
10:06:36 5000 A Pause    
10:06:41 5000 A Pause    
10:06:46 5000 A Pause    
10:06:51 5000 A Pause    
10:06:56 5000 A Pause    
10:07:01 5000 A Pause    
10:07:06 5000 A Pause    
10:07:11 5000 A Pause    
10:07:16 5000 A Pause    
10:07:21 5000 A Pause    
10:07:26 5000 A Pause    
10:07:31 5000 A Pause    
10:07:36 5000 A Pause    
10:07:41 5000 A Pause    
10:07:46 5000 A Pause    
10:07:51 5000 A Pause    
10:07:56 5000 A Pause    
10:08:01 5000 A Pause    
10:08:06 5000 A Pause    
10:08:11 5000 A Pause    
10:08:16 5000 A Pause    
10:08:21 5000 A Pause    
10:08:26 5000 A Pause    
10:08:31 5000 A Pause    
10:08:36 5000 A Pause    
10:08:41 5000 A Pause    
10:08:46 5000 A Pause    
10:08:51 5000 A Pause    
10:08:56 5000 A Pause    
10:09:01 5000 A Pause    
10:09:06 5000 A Pause    
10:09:11 5000 A Pause    
10:09:16 5000 A Pause    
10:09:21 5000 A Pause    
10:09:26 5000 A Pause    
10:09:31 5000 A Pause    
10:09:36 5000 A Pause    
10:09:41 5000 A Pause    
10:09:46 5000 A Pause    
10:09:51 5000 A Pause    
10:09:56 5000 A Pause    
10:10:01 5000 A Pause    
10:10:06 5000 A Pause    
10:10:11 5000 A Pause    
10:10:16 5000 A Pause    
10:10:21 5000 A Pause    
10:10:26 5000 A Pause    
10:10:31 5000 A Pause    
10:10:36 5000 A Pause    
10:10:41 5000 A Pause    
10:10:46 5000 A Pause    
10:10:51 5000 A Pause    
10:10:56 5000 A Pause    
10:11:01 5000 A Pause    
10:11:06 5000 A Pause    
