14:46:16 750 N     
14:46:17 610 N     
14:46:17 615 N     
14:46:18 610 N     
14:46:19 615 N     
14:46:19 610 N     
14:46:20 620 N     
14:46:21 620 N     
14:46:21 610 N     
14:46:22 625 N     
14:46:22 620 N     
14:46:23 615 N     
14:46:24 625 N     
14:46:24 620 N     
14:46:25 630 N     
14:46:26 625 N     
14:46:26 620 N     
14:46:27 620 N     
14:46:27 625 N     
14:46:28 620 N     
14:46:29 620 N     
14:46:29 615 N     
14:46:30 615 N     
14:46:30 615 N     
14:46:31 610 N     
14:46:32 600 N     
14:46:32 600 N     
14:46:33 610 N     
14:46:34 610 N     
14:46:34 610 N     
14:46:35 610 N     
14:46:35 615 N     
14:46:36 605 N     
14:46:37 610 N     
14:46:37 615 N     
14:46:38 615 N     
14:46:38 615 N     
14:46:39 620 N     
14:46:40 620 N     
14:46:40 620 N     
14:46:41 615 N     
14:46:41 605 N     
14:46:42 605 N     
14:46:43 600 N     
14:46:43 600 N     
14:46:44 600 N     
14:46:44 600 N     
14:46:45 610 N     
14:46:46 615 N     
14:46:46 615 N     
14:46:47 610 N     
14:46:48 610 N     
14:46:48 615 N     
14:46:49 610 N     
14:46:49 605 N     
14:46:50 620 N     
14:46:51 620 N     
14:46:51 620 N     
14:46:52 620 N     
14:46:52 610 N     
14:46:53 600 N     
14:46:54 595 N     
14:46:54 595 N     
14:46:55 600 N     
14:46:55 595 N     
14:46:56 600 N     
14:46:57 605 N     
14:46:57 610 N     
14:46:58 605 N     
14:46:58 610 N     
14:46:59 610 N     
14:47:00 615 A     
14:47:05 5000 A Pause    
14:47:10 5000 A Pause    
14:47:15 5000 A Pause    
14:47:20 5000 A Pause    
14:47:25 5000 A Pause    
14:47:30 5000 A Pause    
14:47:35 5000 A Pause    
14:47:40 5000 A Pause    
14:47:45 5000 A Pause    
14:47:50 5000 A Pause    
14:47:55 5000 A Pause    
14:48:00 5000 A Pause    
14:48:05 5000 A Pause    
14:48:10 5000 A Pause    
14:48:15 5000 A Pause    
14:48:20 5000 A Pause    
14:48:25 5000 A Pause    
14:48:30 5000 A Pause    
14:48:35 5000 A Pause    
14:48:40 5000 A Pause    
14:48:45 5000 A Pause    
14:48:50 5000 A Pause    
14:48:55 5000 A Pause    
14:49:00 5000 A Pause    
14:49:05 5000 A Pause    
14:49:10 5000 A Pause    
14:49:15 5000 A Pause    
14:49:20 5000 A Pause    
14:49:25 5000 A Pause    
14:49:30 5000 A Pause    
14:49:35 5000 A Pause    
14:49:40 5000 A Pause    
14:49:45 5000 A Pause    
14:49:50 5000 A Pause    
14:49:55 5000 A Pause    
14:50:00 5000 A Pause    
14:50:05 5000 A Pause    
14:50:10 5000 A Pause    
14:50:15 5000 A Pause    
14:50:20 5000 A Pause    
14:50:25 5000 A Pause    
14:50:30 5000 A Pause    
14:50:35 5000 A Pause    
14:50:40 5000 A Pause    
14:50:45 5000 A Pause    
14:50:50 5000 A Pause    
14:50:55 5000 A Pause    
14:51:00 5000 A Pause    
14:51:05 5000 A Pause    
14:51:10 5000 A Pause    
14:51:15 5000 A Pause    
14:51:20 5000 A Pause    
14:51:25 5000 A Pause    
14:51:30 5000 A Pause    
14:51:35 5000 A Pause    
14:51:40 5000 A Pause    
14:51:45 5000 A Pause    
14:51:50 5000 A Pause    
14:51:55 5000 A Pause    
14:52:00 5000 A Pause    
14:52:05 5000 A Pause    
14:52:10 5000 A Pause    
14:52:15 5000 A Pause    
14:52:20 5000 A Pause    
14:52:25 5000 A Pause    
14:52:30 5000 A Pause    
14:52:35 5000 A Pause    
14:52:40 5000 A Pause    
14:52:45 5000 A Pause    
14:52:50 5000 A Pause    
14:52:55 5000 A Pause    
14:53:00 5000 A Pause    
14:53:05 5000 A Pause    
14:53:10 5000 A Pause    
14:53:15 5000 A Pause    
14:53:20 5000 A Pause    
14:53:25 5000 A Pause    
14:53:30 5000 A Pause    
14:53:35 5000 A Pause    
14:53:40 5000 A Pause    
14:53:45 5000 A Pause    
14:53:50 5000 A Pause    
14:53:55 5000 A Pause    
14:54:00 5000 A Pause    
14:54:05 5000 A Pause    
14:54:10 5000 A Pause    
14:54:15 5000 A Pause    
14:54:20 5000 A Pause    
14:54:25 5000 A Pause    
14:54:30 5000 A Pause    
14:54:35 5000 A Pause    
14:54:40 5000 A Pause    
14:54:45 5000 A Pause    
14:54:46 925 A     
14:54:51 5000 A Pause    
14:54:56 5000 A Pause    
14:55:01 5000 A Pause    
14:55:06 5000 A Pause    
14:55:11 5000 A Pause    
14:55:16 5000 A Pause    
14:55:16 735 N     
14:55:17 580 N     
14:55:18 590 N     
14:55:18 585 N     
14:55:19 590 N     
14:55:19 590 N     
14:55:20 590 N     
14:55:20 590 N     
14:55:21 590 N     
14:55:22 590 N     
14:55:22 590 N     
14:55:23 590 N     
14:55:23 590 N     
14:55:24 590 N     
14:55:25 585 N     
14:55:25 590 N     
14:55:26 580 N     
14:55:26 515 N     
14:55:27 640 N     
14:55:27 570 N     
14:55:28 570 N     
14:55:29 565 N     
14:55:29 565 N     
14:55:30 575 N     
14:55:30 565 N     
14:55:31 570 N     
14:55:31 580 N     
14:55:32 580 N     
14:55:33 580 N     
14:55:33 580 N     
14:55:34 585 N     
14:55:34 590 N     
14:55:35 585 N     
14:55:36 590 N     
14:55:36 585 N     
14:55:37 590 N     
14:55:37 585 N     
14:55:38 585 N     
14:55:39 580 N     
14:55:39 585 N     
14:55:40 580 N     
14:55:40 570 N     
14:55:41 575 N     
14:55:41 575 N     
14:55:42 570 N     
14:55:43 575 N     
14:55:43 570 N     
14:55:44 575 N     
14:55:44 570 N     
14:55:45 575 N     
14:55:45 580 N     
14:55:46 580 N     
14:55:47 575 N     
14:55:47 585 N     
14:55:48 585 N     
14:55:48 585 N     
14:55:49 585 N     
14:55:49 595 N     
14:55:50 585 N     
14:55:51 595 N     
14:55:51 595 N     
14:55:52 600 N     
14:55:52 610 N     
14:55:53 605 N     
14:55:54 605 N     
14:55:54 605 N     
14:55:55 605 N     
14:55:55 600 N     
14:55:56 605 N     
14:55:57 610 N     
14:55:57 610 N     
14:55:58 615 N     
14:55:59 610 N     
14:55:59 610 N     
14:56:00 610 N     
14:56:00 600 N     
14:56:01 590 N     
14:56:02 585 N     
14:56:02 585 N     
14:56:03 590 N     
14:56:03 590 N     
14:56:04 475 N     
14:56:04 700 N     
14:56:05 585 N     
14:56:06 590 N     
14:56:06 590 N     
14:56:07 595 N     
14:56:07 595 N     
14:56:08 590 N     
14:56:09 600 N     
14:56:09 595 N     
14:56:10 595 N     
14:56:10 605 N     
14:56:11 600 N     
14:56:12 605 N     
14:56:12 610 N     
14:56:13 605 N     
14:56:13 610 N     
14:56:14 610 N     
14:56:15 610 N     
14:56:15 615 N     
14:56:16 610 N     
14:56:17 620 N     
14:56:17 620 N     
14:56:18 620 N     
14:56:18 615 N     
14:56:19 390 V PR VPB C.I.= 390 ms   
14:56:20 860 N CP    
14:56:20 620 N     
14:56:21 615 N     
14:56:21 615 N     
14:56:22 615 N     
14:56:23 625 N     
14:56:23 615 N     
14:56:24 630 N     
14:56:25 630 N     
14:56:25 630 N     
14:56:26 545 N     
14:56:26 465 N     
14:56:27 885 N     
14:56:28 630 N     
14:56:28 625 N     
14:56:29 630 N     
14:56:30 625 N     
14:56:30 395 V PR VPB C.I.= 395 ms   
14:56:31 875 N CP    
14:56:31 330 V PR VPB C.I.= 330 ms   
14:56:32 920 N CP    
14:56:33 620 N     
14:56:33 615 N     
14:56:34 610 N     
14:56:35 615 N     
14:56:35 615 N     
14:56:36 615 N     
14:56:36 625 N     
14:56:37 620 N     
14:56:38 620 N     
14:56:38 620 N     
14:56:39 615 N     
14:56:40 620 N     
14:56:40 605 N     
14:56:41 605 N     
14:56:41 605 N     
14:56:42 605 N     
14:56:43 580 N     
14:56:43 585 N     
14:56:44 585 N     
14:56:44 595 N     
14:56:45 600 N     
14:56:46 605 N     
14:56:46 615 N     
14:56:47 625 N     
14:56:47 625 N     
14:56:48 630 N     
14:56:49 640 N     
14:56:49 640 N     
14:56:50 640 N     
14:56:51 645 N     
14:56:51 640 N     
14:56:52 645 N     
14:56:52 630 N     
14:56:53 620 N     
14:56:54 625 N     
14:56:54 610 N     
14:56:55 595 N     
14:56:56 595 N     
14:56:56 590 N     
14:56:57 595 N     
14:56:57 595 N     
14:56:58 595 N     
14:56:59 590 N     
14:56:59 590 N     
14:57:00 590 N     
14:57:00 590 N     
14:57:01 595 N     
14:57:01 590 N     
14:57:02 585 N     
14:57:03 590 N     
14:57:03 590 N     
14:57:04 585 N     
14:57:04 590 N     
14:57:05 585 N     
14:57:06 585 N     
14:57:06 590 N     
14:57:07 585 N     
14:57:07 590 N     
14:57:08 595 N     
14:57:09 585 N     
14:57:09 595 N     
14:57:10 590 N     
14:57:10 595 N     
14:57:11 595 N     
14:57:11 600 N     
14:57:12 600 N     
14:57:13 595 N     
14:57:13 590 N     
14:57:14 595 N     
14:57:14 595 N     
14:57:15 595 N     
14:57:16 600 N     
14:57:16 595 N     
14:57:17 595 N     
14:57:17 590 N     
14:57:18 590 N     
14:57:19 585 N     
14:57:19 590 N     
14:57:20 585 N     
14:57:20 590 N     
14:57:21 590 N     
14:57:22 585 N     
14:57:22 580 N     
14:57:23 595 N     
14:57:23 595 N     
14:57:24 595 N     
14:57:25 600 N     
14:57:25 600 N     
14:57:26 595 N     
14:57:26 595 N     
14:57:27 595 N     
14:57:27 590 N     
14:57:28 590 N     
14:57:29 590 N     
14:57:29 585 N     
14:57:30 585 N     
14:57:30 580 N     
14:57:31 575 N     
14:57:32 575 N     
14:57:32 570 N     
14:57:33 570 N     
14:57:33 565 N     
14:57:34 565 N     
14:57:34 565 N     
14:57:35 565 N     
14:57:36 570 N     
14:57:36 565 N     
14:57:37 565 N     
14:57:37 565 N     
14:57:38 570 N     
14:57:38 570 N     
14:57:39 570 N     
14:57:40 570 N     
14:57:40 570 N     
14:57:41 570 N     
14:57:41 570 N     
14:57:42 565 N     
14:57:42 575 N     
14:57:43 565 N     
14:57:44 570 N     
14:57:44 575 N     
14:57:45 565 N     
14:57:45 565 N     
14:57:46 570 N     
14:57:46 560 N     
14:57:47 565 N     
14:57:47 560 N     
14:57:48 565 N     
14:57:49 560 N     
14:57:49 570 N     
14:57:50 565 N     
14:57:50 575 N     
14:57:51 575 N     
