12:33:51 20040 A     
12:34:11 20000 A     
12:34:31 20000 A     
12:34:51 20000 A     
12:35:11 20000 A     
12:35:31 20000 A     
12:35:51 20000 A     
12:36:11 20000 A     
12:36:31 20000 A     
12:36:51 20000 A     
12:37:11 20000 A     
12:37:26 15000 A     
12:37:31 5000 A     
12:37:36 5000 A Pause    
12:37:41 5000 A Pause    
12:37:46 5000 A Pause    
12:37:51 5000 A Pause    
12:37:56 5000 A Pause    
12:38:01 5000 A Pause    
12:38:06 5000 A Pause    
12:38:11 5000 A Pause    
12:38:16 5000 A Pause    
12:38:21 5000 A Pause    
12:38:26 5000 A Pause    
12:38:31 5000 A Pause    
12:38:36 5000 A Pause    
12:38:41 5000 A Pause    
12:38:46 5000 A Pause    
12:38:51 5000 A Pause    
12:38:56 5000 A Pause    
12:39:01 5000 A Pause    
12:39:06 5000 A Pause    
12:39:11 5000 A Pause    
12:39:16 5000 A Pause    
12:39:21 5000 A Pause    
12:39:26 5000 A Pause    
12:39:31 5000 A Pause    
12:39:36 5000 A Pause    
12:39:41 5000 A Pause    
12:39:46 5000 A Pause    
12:39:51 5000 A Pause    
12:39:56 5000 A Pause    
12:40:01 5000 A Pause    
12:40:06 5000 A Pause    
12:40:11 5000 A Pause    
12:40:16 5000 A Pause    
12:40:21 5000 A Pause    
12:40:26 5000 A Pause    
12:40:31 5000 A Pause    
12:40:36 5000 A Pause    
12:40:41 5000 A Pause    
12:40:46 5000 A Pause    
12:40:51 5000 A Pause    
12:40:56 5000 A Pause    
12:41:01 5000 A Pause    
12:41:06 5000 A Pause    
12:41:11 5000 A Pause    
12:41:16 5000 A Pause    
12:41:21 5000 A Pause    
12:41:26 5000 A Pause    
12:41:31 5000 A Pause    
12:41:36 5000 A Pause    
12:41:41 5000 A Pause    
12:41:46 5000 A Pause    
12:41:51 5000 A Pause    
12:41:56 5000 A Pause    
12:42:01 5000 A Pause    
12:42:06 5000 A Pause    
12:42:11 5000 A Pause    
12:42:16 5000 A Pause    
12:42:21 5000 A Pause    
12:42:26 5000 A Pause    
12:42:31 5000 A Pause    
12:42:36 5000 A Pause    
12:42:41 5000 A Pause    
12:42:46 5000 A Pause    
12:42:51 5000 A Pause    
12:42:56 5000 A Pause    
12:43:01 5000 A Pause    
12:43:06 5000 A Pause    
12:43:11 5000 A Pause    
12:43:16 5000 A Pause    
12:43:21 5000 A Pause    
12:43:26 5000 A Pause    
12:43:31 5000 A Pause    
12:43:36 5000 A Pause    
12:43:41 5000 A Pause    
12:43:46 5000 A Pause    
12:43:51 5000 A Pause    
12:43:56 5000 A Pause    
12:44:01 5000 A Pause    
12:44:06 5000 A Pause    
12:44:11 5000 A Pause    
12:44:16 5000 A Pause    
12:44:21 5000 A Pause    
12:44:26 5000 A Pause    
12:44:31 5000 A Pause    
12:44:36 5000 A Pause    
12:44:41 5000 A Pause    
12:44:46 5000 A Pause    
12:44:51 5000 A Pause    
12:44:56 5000 A Pause    
12:45:01 5000 A Pause    
12:45:06 5000 A Pause    
12:45:11 5000 A Pause    
12:45:16 5000 A Pause    
12:45:21 5000 A Pause    
12:45:26 5000 A Pause    
12:45:31 5000 A Pause    
12:45:36 5000 A Pause    
12:45:41 5000 A Pause    
12:45:46 5000 A Pause    
12:45:51 5000 A Pause    
12:45:56 5000 A Pause    
12:46:01 5000 A Pause    
12:46:06 5000 A Pause    
12:46:11 5000 A Pause    
12:46:16 5000 A Pause    
12:46:21 5000 A Pause    
12:46:26 5000 A Pause    
12:46:31 5000 A Pause    
12:46:36 5000 A Pause    
12:46:41 5000 A Pause    
12:46:46 5000 A Pause    
12:46:51 5000 A Pause    
12:46:56 5000 A Pause    
12:47:01 5000 A Pause    
12:47:06 5000 A Pause    
12:47:11 5000 A Pause    
12:47:16 5000 A Pause    
12:47:21 5000 A Pause    
12:47:26 5000 A Pause    
12:47:31 5000 A Pause    
12:47:36 5000 A Pause    
12:47:41 5000 A Pause    
12:47:46 5000 A Pause    
12:47:51 5000 A Pause    
12:47:56 5000 A Pause    
12:48:01 5000 A Pause    
12:48:06 5000 A Pause    
12:48:11 5000 A Pause    
12:48:16 5000 A Pause    
12:48:21 5000 A Pause    
12:48:26 5000 A Pause    
12:48:31 5000 A Pause    
12:48:36 5000 A Pause    
12:48:41 5000 A Pause    
12:48:46 5000 A Pause    
12:48:51 5000 A Pause    
12:48:56 5000 A Pause    
12:49:01 5000 A Pause    
12:49:06 5000 A Pause    
12:49:11 5000 A Pause    
12:49:16 5000 A Pause    
12:49:21 5000 A Pause    
12:49:26 5000 A Pause    
12:49:31 5000 A Pause    
12:49:36 5000 A Pause    
12:49:41 5000 A Pause    
12:49:46 5000 A Pause    
12:49:51 5000 A Pause    
12:49:56 5000 A Pause    
12:50:01 5000 A Pause    
12:50:06 5000 A Pause    
12:50:11 5000 A Pause    
12:50:16 5000 A Pause    
12:50:21 5000 A Pause    
12:50:26 5000 A Pause    
12:50:31 5000 A Pause    
12:50:36 5000 A Pause    
12:50:41 5000 A Pause    
12:50:46 5000 A Pause    
12:50:51 5000 A Pause    
12:50:56 5000 A Pause    
12:51:01 5000 A Pause    
12:51:06 5000 A Pause    
12:51:11 5000 A Pause    
12:51:16 5000 A Pause    
12:51:21 5000 A Pause    
12:51:26 5000 A Pause    
12:51:31 5000 A Pause    
12:51:36 5000 A Pause    
12:51:41 5000 A Pause    
12:51:46 5000 A Pause    
12:51:51 5000 A Pause    
12:51:56 5000 A Pause    
12:52:01 5000 A Pause    
12:52:06 5000 A Pause    
12:52:11 5000 A Pause    
12:52:16 5000 A Pause    
12:52:21 5000 A Pause    
12:52:26 5000 A Pause    
12:52:31 5000 A Pause    
12:52:36 5000 A Pause    
12:52:41 5000 A Pause    
12:52:46 5000 A Pause    
12:52:51 5000 A Pause    
12:52:56 5000 A Pause    
12:53:01 5000 A Pause    
12:53:06 5000 A Pause    
12:53:11 5000 A Pause    
12:53:16 5000 A Pause    
12:53:21 5000 A Pause    
12:53:26 5000 A Pause    
12:53:31 5000 A Pause    
12:53:36 5000 A Pause    
12:53:41 5000 A Pause    
12:53:46 5000 A Pause    
12:53:51 5000 A Pause    
12:53:56 5000 A Pause    
12:54:01 5000 A Pause    
12:54:06 5000 A Pause    
12:54:11 5000 A Pause    
12:54:16 5000 A Pause    
12:54:21 5000 A Pause    
12:54:26 5000 A Pause    
12:54:31 5000 A Pause    
12:54:36 5000 A Pause    
12:54:41 5000 A Pause    
12:54:46 5000 A Pause    
12:54:51 5000 A Pause    
12:54:56 5000 A Pause    
12:55:01 5000 A Pause    
12:55:06 5000 A Pause    
12:55:11 5000 A Pause    
12:55:16 5000 A Pause    
12:55:21 5000 A Pause    
12:55:26 5000 A Pause    
12:55:31 5000 A Pause    
12:55:36 5000 A Pause    
12:55:41 5000 A Pause    
12:55:46 5000 A Pause    
12:55:51 5000 A Pause    
12:55:56 5000 A Pause    
12:56:01 5000 A Pause    
12:56:06 5000 A Pause    
12:56:11 5000 A Pause    
12:56:16 5000 A Pause    
12:56:21 5000 A Pause    
12:56:26 5000 A Pause    
12:56:31 5000 A Pause    
12:56:36 5000 A Pause    
12:56:41 5000 A Pause    
12:56:46 5000 A Pause    
12:56:51 5000 A Pause    
12:56:56 5000 A Pause    
12:57:01 5000 A Pause    
12:57:06 5000 A Pause    
12:57:11 5000 A Pause    
12:57:16 5000 A Pause    
12:57:21 5000 A Pause    
12:57:26 5000 A Pause    
12:57:31 5000 A Pause    
12:57:36 5000 A Pause    
12:57:41 5000 A Pause    
12:57:46 5000 A Pause    
12:57:51 5000 A Pause    
12:57:56 5000 A Pause    
12:58:01 5000 A Pause    
12:58:06 5000 A Pause    
12:58:11 5000 A Pause    
12:58:16 5000 A Pause    
12:58:21 5000 A Pause    
12:58:26 5000 A Pause    
12:58:31 5000 A Pause    
12:58:36 5000 A Pause    
12:58:41 5000 A Pause    
12:58:46 5000 A Pause    
12:58:51 5000 A Pause    
12:58:56 5000 A Pause    
12:59:01 5000 A Pause    
12:59:06 5000 A Pause    
12:59:11 5000 A Pause    
12:59:16 5000 A Pause    
12:59:21 5000 A Pause    
12:59:26 5000 A Pause    
12:59:31 5000 A Pause    
12:59:36 5000 A Pause    
12:59:41 5000 A Pause    
12:59:46 5000 A Pause    
12:59:51 5000 A Pause    
12:59:56 5000 A Pause    
13:00:01 5000 A Pause    
13:00:06 5000 A Pause    
13:00:11 5000 A Pause    
13:00:16 5000 A Pause    
13:00:21 5000 A Pause    
13:00:26 5000 A Pause    
13:00:31 5000 A Pause    
13:00:36 5000 A Pause    
13:00:41 5000 A Pause    
13:00:46 5000 A Pause    
13:00:51 5000 A Pause    
13:00:56 5000 A Pause    
13:01:01 5000 A Pause    
13:01:06 5000 A Pause    
13:01:11 5000 A Pause    
13:01:16 5000 A Pause    
13:01:21 5000 A Pause    
13:01:26 5000 A Pause    
13:01:31 5000 A Pause    
13:01:36 5000 A Pause    
13:01:41 5000 A Pause    
13:01:46 5000 A Pause    
13:01:51 5000 A Pause    
13:01:56 5000 A Pause    
13:02:01 5000 A Pause    
13:02:06 5000 A Pause    
13:02:11 5000 A Pause    
13:02:16 5000 A Pause    
13:02:21 5000 A Pause    
13:02:26 5000 A Pause    
13:02:31 5000 A Pause    
13:02:36 5000 A Pause    
13:02:41 5000 A Pause    
13:02:46 5000 A Pause    
13:02:51 5000 A Pause    
13:02:56 5000 A Pause    
13:03:01 5000 A Pause    
13:03:06 5000 A Pause    
13:03:11 5000 A Pause    
13:03:16 5000 A Pause    
13:03:21 5000 A Pause    
13:03:26 5000 A Pause    
13:03:31 5000 A Pause    
13:03:36 5000 A Pause    
13:03:41 5000 A Pause    
13:03:46 5000 A Pause    
13:03:51 5000 A Pause    
13:03:56 5000 A Pause    
13:04:01 5000 A Pause    
13:04:06 5000 A Pause    
13:04:11 5000 A Pause    
13:04:16 5000 A Pause    
13:04:21 5000 A Pause    
13:04:26 5000 A Pause    
13:04:31 5000 A Pause    
13:04:36 5000 A Pause    
13:04:41 5000 A Pause    
13:04:46 5000 A Pause    
13:04:51 5000 A Pause    
13:04:56 5000 A Pause    
13:05:01 5000 A Pause    
13:05:06 5000 A Pause    
13:05:11 5000 A Pause    
13:05:16 5000 A Pause    
13:05:21 5000 A Pause    
13:05:26 5000 A Pause    
13:05:31 5000 A Pause    
13:05:36 5000 A Pause    
13:05:41 5000 A Pause    
13:05:46 5000 A Pause    
13:05:51 5000 A Pause    
13:05:56 5000 A Pause    
13:06:01 5000 A Pause    
13:06:06 5000 A Pause    
13:06:11 5000 A Pause    
13:06:16 5000 A Pause    
13:06:21 5000 A Pause    
13:06:26 5000 A Pause    
13:06:31 5000 A Pause    
13:06:36 5000 A Pause    
13:06:41 5000 A Pause    
13:06:46 5000 A Pause    
